cveID,count
CVE-2019-0797,1
CVE-2017-8759,1
CVE-2019-15949,1
CVE-2021-40444,1
CVE-2020-1020,1
CVE-2020-0986,1
CVE-2020-17144,1
CVE-2020-0938,1
CVE-2021-31979,1
CVE-2021-31201,1
CVE-2021-31956,1
CVE-2021-33771,1
CVE-2021-31199,1
CVE-2021-33742,1
CVE-2020-17087,1
CVE-2020-0683,1
CVE-2016-0185,1
CVE-2021-33739,1
CVE-2021-1647,1
CVE-2021-31955,1
CVE-2020-0878,1
CVE-2021-38645,1
CVE-2021-34523,1
CVE-2017-7269,1
CVE-2021-34527,1
CVE-2019-0859,1
CVE-2021-26411,1
CVE-2020-1350,1
CVE-2021-28310,1
CVE-2020-1040,1
CVE-2019-0803,1
CVE-2021-31207,1
CVE-2021-1732,1
CVE-2021-36948,1
CVE-2020-1464,1
CVE-2021-34473,1
CVE-2019-0708,1
CVE-2016-7255,1
CVE-2017-0143,1
CVE-2020-0688,1
CVE-2021-38649,1
CVE-2019-17026,1
CVE-2020-26919,1
CVE-2021-38647,1
CVE-2021-20023,1
CVE-2021-36741,1
CVE-2021-36742,1
CVE-2020-8599,1
CVE-2020-24557,1
CVE-2020-8468,1
CVE-2020-8467,1
CVE-2019-18187,1
CVE-2019-9082,1
CVE-2018-20062,1
CVE-2018-14558,1
CVE-2020-10987,1
CVE-2021-31755,1
CVE-2017-9248,1
CVE-2019-18988,1
CVE-2017-6327,1
CVE-2020-10181,1
CVE-2020-12271,1
CVE-2019-20085,1
CVE-2020-5849,1
CVE-2020-5847,1
CVE-2020-4006,1
CVE-2019-8394,1
CVE-2020-10189,1
CVE-2021-40539,1
CVE-2021-27561,1
CVE-2019-9978,1
CVE-2020-11738,1
CVE-2020-25213,1
CVE-2021-21985,1
CVE-2019-16759,1
CVE-2021-21972,1
CVE-2020-3952,1
CVE-2021-22005,1
CVE-2020-3950,1
CVE-2020-3992,1
CVE-2019-5544,1
CVE-2020-17496,1
CVE-2021-20016,1
CVE-2021-20022,1
CVE-2019-19356,1
CVE-2019-7481,1
CVE-2019-11539,1
CVE-2019-11510,1
CVE-2021-22899,1
CVE-2020-8260,1
CVE-2021-22894,1
CVE-2021-22900,1
CVE-2020-8243,1
CVE-2021-22893,1
CVE-2019-18935,1
CVE-2020-8644,1
CVE-2020-14883,1
CVE-2020-14882,1
CVE-2020-14750,1
CVE-2015-4852,1
CVE-2020-14871,1
CVE-2012-3152,1
CVE-2020-2555,1
CVE-2021-1906,1
CVE-2021-1905,1
CVE-2020-10221,1
CVE-2020-6207,1
CVE-2021-20021,1
CVE-2020-10199,1
CVE-2016-3643,1
CVE-2021-35211,1
CVE-2020-10148,1
CVE-2019-16256,1
CVE-2016-3976,1
CVE-2020-6287,1
CVE-2021-35395,1
CVE-2016-9563,1
CVE-2010-5326,1
CVE-2018-2380,1
CVE-2020-16846,1
CVE-2020-11651,1
CVE-2020-11652,1
CVE-2017-16651,1
CVE-2016-0167,1
CVE-2014-1812,1
CVE-2021-22017,1
CVE-2021-27102,1
CVE-2020-17530,1
CVE-2019-17558,1
CVE-2016-4437,1
CVE-2019-0211,1
CVE-2021-41773,1
CVE-2021-42013,1
CVE-2017-9805,1
CVE-2020-0069,1
CVE-2020-0041,1
CVE-2019-2215,1
CVE-2020-5735,1
CVE-2018-4878,1
CVE-2018-15961,1
CVE-2018-4939,1
CVE-2021-28550,1
CVE-2021-21017,1
CVE-2021-27103,1
CVE-2017-5638,1
CVE-2018-11776,1
CVE-2021-30858,1
CVE-2021-1782,1
CVE-2021-30657,1
CVE-2021-30713,1
CVE-2021-30666,1
CVE-2021-30661,1
CVE-2021-1879,1
CVE-2021-1871,1
CVE-2021-1870,1
CVE-2021-30762,1
CVE-2019-6223,1
CVE-2020-9819,1
CVE-2020-9818,1
CVE-2020-27932,1
CVE-2020-27950,1
CVE-2021-30807,1
CVE-2020-27930,1
CVE-2021-30860,1
CVE-2021-27101,1
CVE-2021-27104,1
CVE-2021-30663,1
CVE-2021-42292,1
CVE-2021-44515,1
CVE-2021-4102,1
CVE-2021-43890,1
CVE-2021-27860,1
CVE-2019-7609,1
CVE-2017-1000486,1
CVE-2015-7450,1
CVE-2019-10149,1
CVE-2019-1579,1
CVE-2018-13383,1
CVE-2018-13382,1
CVE-2019-9670,1
CVE-2019-2725,1
CVE-2013-3900,1
CVE-2019-1458,1
CVE-2020-6572,1
CVE-2021-36260,1
CVE-2019-13272,1
CVE-2021-35394,1
CVE-2019-7238,1
CVE-2020-11261,1
CVE-2021-42321,1
CVE-2021-40449,1
CVE-2021-22204,1
CVE-2021-44077,1
CVE-2021-40438,1
CVE-2021-37415,1
CVE-2018-14847,1
CVE-2021-44228,1
CVE-2019-0193,1
CVE-2019-10758,1
CVE-2020-8816,1
CVE-2020-17463,1
CVE-2010-1871,1
CVE-2017-12149,1
CVE-2017-17562,1
CVE-2021-44168,1
CVE-2021-30665,1
CVE-2021-30761,1
CVE-2021-22502,1
CVE-2020-5902,1
CVE-2021-37975,1
CVE-2021-30551,1
CVE-2021-37973,1
CVE-2021-21148,1
